County,ledgerstyle,cost, mi ,per-income
Seton Hall University,2006,24720," $75,701 ",0.33
Seton Hall University,2007,27850," $76,542 ",0.36
Seton Hall University,2008,29630," $77,387 ",0.38
Seton Hall University,2009,30470," $75,410 ",0.4
Seton Hall University,2010,31890," $73,492 ",0.43
Seton Hall University,2011,33490," $71,011 ",0.47
Seton Hall University,2012,34750," $71,836 ",0.48
Seton Hall University,2013,35820," $71,313 ",0.5
Seton Hall University,2014,36926," $71,919 ",0.51
Seton Hall University,2015,38072," $72,222 ",0.53
Seton Hall University,2016,39258," $76,126 ",0.52
Seton Hall University,2017,40588," $80,088 ",0.51
Seton Hall University,2018,42170," $80,088 ",0.53
Seton Hall University,2019,42498," $80,088 ",0.53
Seton Hall University,2020,44498," $81,690 ",0.54
Seton Hall University,2021,46592," $83,324 ",0.56
Seton Hall University,2022,48785," $84,990 ",0.57
Seton Hall University,2023,51081," $86,690 ",0.59
Seton Hall University,2024,53484," $88,424 ",0.6
Seton Hall University,2025,56001," $90,192 ",0.62
Seton Hall University,2026,58637," $91,996 ",0.64
Seton Hall University,2027,61396," $93,836 ",0.65
Seton Hall University,2028,64286," $95,713 ",0.67
Seton Hall University,2029,67311," $97,627 ",0.69
Seton Hall University,2030,70479," $99,579 ",0.71
Seton Hall University,2031,73795," $101,571 ",0.73
Seton Hall University,2032,77268," $103,602 ",0.75
Seton Hall University,2033,80904," $105,674 ",0.77
Seton Hall University,2034,84712," $107,788 ",0.79
Seton Hall University,2035,88698," $109,944 ",0.81
Seton Hall University,2036,92872," $112,143 ",0.83
Seton Hall University,2037,97243," $114,385 ",0.85
Stevens Institute of Technology,1991,14990, na ,na
Stevens Institute of Technology,1992,15723, na ,na
Stevens Institute of Technology,1993,16727, na ,na
Stevens Institute of Technology,1994,17290," $40,927 ",0.42
Stevens Institute of Technology,1995,17730," $40,927 ",0.43
Stevens Institute of Technology,1996,18550," $40,927 ",0.45
Stevens Institute of Technology,1997,19375," $40,927 ",0.47
Stevens Institute of Technology,1998,20400," $40,927 ",0.5
Stevens Institute of Technology,1999,21415," $40,927 ",0.52
Stevens Institute of Technology,2000,22475," $40,927 ",0.55
Stevens Institute of Technology,2001,23890," $40,927 ",0.58
Stevens Institute of Technology,2002,25650," $55,146 ",0.47
Stevens Institute of Technology,2003,26870," $55,146 ",0.49
Stevens Institute of Technology,2004,30148," $55,146 ",0.55
Stevens Institute of Technology,2005,31435," $74,764 ",0.42
Stevens Institute of Technology,2006,32995," $75,701 ",0.44
Stevens Institute of Technology,2007,34545," $76,542 ",0.45
Stevens Institute of Technology,2008,36280," $77,387 ",0.47
Stevens Institute of Technology,2009,37980," $75,410 ",0.5
Stevens Institute of Technology,2010,39816," $73,492 ",0.54
Stevens Institute of Technology,2011,41782," $71,011 ",0.59
Stevens Institute of Technology,2012,43196," $71,836 ",0.6
Stevens Institute of Technology,2013,44490," $71,313 ",0.62
Stevens Institute of Technology,2014,45366," $71,919 ",0.63
Stevens Institute of Technology,2015,47190," $72,222 ",0.65
Stevens Institute of Technology,2016,48838," $76,126 ",0.64
Stevens Institute of Technology,2017,50554," $80,088 ",0.63
Stevens Institute of Technology,2018,52202," $80,088 ",0.65
Stevens Institute of Technology,2019,52598," $80,088 ",0.66
Stevens Institute of Technology,2020,54724," $81,690 ",0.67
Stevens Institute of Technology,2021,56937," $83,324 ",0.68
Stevens Institute of Technology,2022,59239," $84,990 ",0.7
Stevens Institute of Technology,2023,61634," $86,690 ",0.71
Stevens Institute of Technology,2024,64126," $88,424 ",0.73
Stevens Institute of Technology,2025,66718," $90,192 ",0.74
Stevens Institute of Technology,2026,69416," $91,996 ",0.75
Stevens Institute of Technology,2027,72222," $93,836 ",0.77
Stevens Institute of Technology,2028,75142," $95,713 ",0.79
Stevens Institute of Technology,2029,78180," $97,627 ",0.8
Stevens Institute of Technology,2030,81341," $99,579 ",0.82
Stevens Institute of Technology,2031,84629," $101,571 ",0.83
Stevens Institute of Technology,2032,88051," $103,602 ",0.85
Stevens Institute of Technology,2033,91611," $105,674 ",0.87
Stevens Institute of Technology,2034,95315," $107,788 ",0.88
Stevens Institute of Technology,2035,99168," $109,944 ",0.9
Stevens Institute of Technology,2036,103178," $112,143 ",0.92
Stevens Institute of Technology,2037,107349," $114,385 ",0.94
PUBLIC-MISSION INDEPS AVERAGE,1991,10481, na ,na
PUBLIC-MISSION INDEPS AVERAGE,1992,11124, na ,na
PUBLIC-MISSION INDEPS AVERAGE,1993,11830, na ,na
PUBLIC-MISSION INDEPS AVERAGE,1994,12401," $40,927 ",0.3
PUBLIC-MISSION INDEPS AVERAGE,1995,12998," $40,927 ",0.32
PUBLIC-MISSION INDEPS AVERAGE,1996,13714," $40,927 ",0.34
PUBLIC-MISSION INDEPS AVERAGE,1997,14442," $40,927 ",0.35
PUBLIC-MISSION INDEPS AVERAGE,1998,15270," $40,927 ",0.37
PUBLIC-MISSION INDEPS AVERAGE,1999,16011," $40,927 ",0.39
PUBLIC-MISSION INDEPS AVERAGE,2000,16793," $40,927 ",0.41
PUBLIC-MISSION INDEPS AVERAGE,2001,17705," $40,927 ",0.43
PUBLIC-MISSION INDEPS AVERAGE,2002,18802," $55,146 ",0.34
PUBLIC-MISSION INDEPS AVERAGE,2003,20184," $55,146 ",0.37
PUBLIC-MISSION INDEPS AVERAGE,2004,21553," $55,146 ",0.39
PUBLIC-MISSION INDEPS AVERAGE,2005,22906," $74,764 ",0.31
PUBLIC-MISSION INDEPS AVERAGE,2006,24296," $75,701 ",0.32
PUBLIC-MISSION INDEPS AVERAGE,2007,25908," $76,542 ",0.34
PUBLIC-MISSION INDEPS AVERAGE,2008,27424," $77,387 ",0.35
PUBLIC-MISSION INDEPS AVERAGE,2009,28654," $75,410 ",0.38
PUBLIC-MISSION INDEPS AVERAGE,2010,30206," $73,492 ",0.41
PUBLIC-MISSION INDEPS AVERAGE,2011,31610," $71,011 ",0.45
PUBLIC-MISSION INDEPS AVERAGE,2012,32945," $71,836 ",0.46
PUBLIC-MISSION INDEPS AVERAGE,2013,34076," $71,313 ",0.48
PUBLIC-MISSION INDEPS AVERAGE,2014,35084," $71,919 ",0.49
PUBLIC-MISSION INDEPS AVERAGE,2015,35142," $72,222 ",0.49
PUBLIC-MISSION INDEPS AVERAGE,2016,36515," $76,126 ",0.48
PUBLIC-MISSION INDEPS AVERAGE,2017,37427," $80,088 ",0.47
PUBLIC-MISSION INDEPS AVERAGE,2018,37935," $80,088 ",0.47
PUBLIC-MISSION INDEPS AVERAGE,2019,38995," $80,088 ",0.49
PUBLIC-MISSION INDEPS AVERAGE,2020,40630," $81,690 ",0.5
PUBLIC-MISSION INDEPS AVERAGE,2021,42332," $83,324 ",0.51
PUBLIC-MISSION INDEPS AVERAGE,2022,44106," $84,990 ",0.52
PUBLIC-MISSION INDEPS AVERAGE,2023,45955," $86,690 ",0.53
PUBLIC-MISSION INDEPS AVERAGE,2024,47881," $88,424 ",0.54
PUBLIC-MISSION INDEPS AVERAGE,2025,49887," $90,192 ",0.55
PUBLIC-MISSION INDEPS AVERAGE,2026,51978," $91,996 ",0.56
PUBLIC-MISSION INDEPS AVERAGE,2027,54156," $93,836 ",0.58
PUBLIC-MISSION INDEPS AVERAGE,2028,56425," $95,713 ",0.59
PUBLIC-MISSION INDEPS AVERAGE,2029,58790," $97,627 ",0.6
PUBLIC-MISSION INDEPS AVERAGE,2030,61254," $99,579 ",0.62
PUBLIC-MISSION INDEPS AVERAGE,2031,63821," $101,571 ",0.63
PUBLIC-MISSION INDEPS AVERAGE,2032,66495," $103,602 ",0.64
PUBLIC-MISSION INDEPS AVERAGE,2033,69282," $105,674 ",0.66
PUBLIC-MISSION INDEPS AVERAGE,2034,72185," $107,788 ",0.67
PUBLIC-MISSION INDEPS AVERAGE,2035,75210," $109,944 ",0.68
PUBLIC-MISSION INDEPS AVERAGE,2036,78362," $112,143 ",0.7
PUBLIC-MISSION INDEPS AVERAGE,2037,81646," $114,385 ",0.71
